Date,DayOfWeek,Avail,Total,Indv,Multi,Blocks,Occ,Ad,Ch,Inf,Accomm,FB,Other,NonRevenue,TotalRevenue,GrandTotal,CumulativeAccomm,CumulativeFB,CumulativeOther,CumulativeTotalRevenue,CumulativeNonRevenue,CumulativeGrandTotal,ARR,APR,Yield,Blked,ROOS,DFS,Waitlist,InStock,RatePlanRevenue
The date of the record,"Day of the week (e.g., Monday, Friday)",Available rooms for sale,Total rooms occupied (sum of all segments),Individual bookings (non-group),Multi-room or group bookings,Rooms blocked (reserved but not yet confirmed),Occupancy % (percentage of rooms occupied),Number of adults staying,Number of children staying,Infants staying,Accommodation revenue (room revenue only),Food & Beverage revenue,"Other revenue (e.g., spa, parking)",Complimentary / non-revenue bookings,Total revenue (Accomm + FB + Other),Total including revenue and non-revenue items,Running total of accommodation revenue to date,Running total of F&B revenue to date,Running total of other revenue,Running total of total revenue,Running total of non-revenue,Running total of the grand total,Average Room Rate (revenue Ö occupied rooms),"Average Published Rate (rate before discounts). The average of the rack rates for all room types, regardless of whether those rates were actually sold.",Revenue per Available Room (RevPAR = Total Room Revenue Ö Available Rooms),Blocked rooms (not for sale),Rooms out of service,Definite future stays (firm bookings ahead),Number of rooms on waiting list,Total rooms in stock (available inventory),Revenue attributed to specific rate plans (linked to rate plans
1/1/23 0:00,Sunday,15,89,75,14,0,83.18,173,1,0,12472.93,1380.55,0,0,13853.48,13853.48,12472.93,1380.55,0,13853.48,0,13853.48,140.15,141.66,116.57,0,3,0,0,107,12607.44
2/1/23 0:00,Monday,22,83,69,14,0,77.57,149,7,0,8831.57,1665.55,0,0,10497.12,10497.12,21304.5,3046.1,0,24350.6,0,24350.6,106.4,111.4,82.54,0,2,0,0,107,9246.57
3/1/23 0:00,Tuesday,19,84,73,11,0,78.5,145,5,0,7929.11,1195,0,0,9124.11,9124.11,29233.61,4241.1,0,33474.71,0,33474.71,94.39,96.63,74.1,0,4,0,0,107,8116.61
4/1/23 0:00,Wednesday,18,87,73,14,0,81.31,150,4,0,7722.08,982.95,150,0,8855.03,8855.03,36955.69,5224.05,150,42329.74,0,42329.74,88.76,93.21,72.17,0,2,0,0,107,8109.58
5/1/23 0:00,Thursday,18,87,71,16,0,81.31,160,2,0,8456.57,1300.7,0,0,9757.27,9757.27,45412.26,6524.75,150,52087.01,0,52087.01,97.2,98.84,79.03,0,2,0,0,107,8598.97
6/1/23 0:00,Friday,16,89,70,19,0,83.18,169,0,0,10627.23,1751.75,0,0,12378.98,12378.98,56039.49,8276.5,150,64465.99,0,64465.99,119.41,124.85,99.32,0,2,0,0,107,11111.73
7/1/23 0:00,Saturday,11,93,72,21,0,86.92,170,0,0,12813.17,1491.15,0,0,14304.32,14304.32,68852.66,9767.65,150,78770.31,0,78770.31,137.78,140,119.75,0,3,0,0,107,13019.82
8/1/23 0:00,Sunday,48,56,47,9,0,52.34,98,0,0,4832.05,988,0,0,5820.05,5820.05,73684.71,10755.65,150,84590.36,0,84590.36,86.29,90.24,45.16,0,3,0,0,107,5053.35
9/1/23 0:00,Monday,39,64,59,5,0,59.81,106,1,0,5278.15,898.15,0,0,6176.3,6176.3,78962.86,11653.8,150,90766.66,0,90766.66,82.47,86.38,49.33,0,4,0,0,107,5528.15
10/1/23 0:00,Tuesday,31,70,68,2,0,65.42,113,1,0,6001.22,773.4,0,0,6774.62,6774.62,84964.08,12427.2,150,97541.28,0,97541.28,85.73,84.89,56.09,0,6,0,0,107,5942.14
11/1/23 0:00,Wednesday,30,76,70,6,0,71.03,123,0,0,6158.43,1186.45,0,0,7344.88,7344.88,91122.51,13613.65,150,104886.16,0,104886.16,81.03,80.96,57.56,0,1,0,0,107,6153.18
12/1/23 0:00,Thursday,19,84,80,4,0,78.5,136,0,0,7395.64,1103.3,0,0,8498.94,8498.94,98518.15,14716.95,150,113385.1,0,113385.1,88.04,86.15,69.12,0,4,0,0,107,7236.54
13/01/2023 00:00:00,Friday,14,91,80,11,0,85.05,172,0,0,11495.92,1117.05,0,0,12612.97,12612.97,110014.07,15834,150,125998.07,0,125998.07,126.33,126.85,107.44,0,2,0,0,107,11543.37
14/01/2023 00:00:00,Saturday,13,93,75,18,0,86.92,178,0,0,14291.98,2051.7,0,0,16343.68,16343.68,124306.05,17885.7,150,142341.75,0,142341.75,153.68,158.17,133.57,0,1,0,0,107,14709.48
15/01/2023 00:00:00,Sunday,39,66,59,7,0,61.68,114,0,0,5957.13,1115.9,0,0,7073.03,7073.03,130263.18,19001.6,150,149414.78,0,149414.78,90.26,89.54,55.67,0,2,0,0,107,5909.63
16/01/2023 00:00:00,Monday,37,68,56,12,0,63.55,105,0,0,5191.61,556,0,0,5747.61,5747.61,135454.79,19557.6,150,155162.39,0,155162.39,76.35,86.25,48.52,0,2,0,0,107,5865.22
17/01/2023 00:00:00,Tuesday,26,79,64,15,0,73.83,127,0,0,6646.31,586.05,0,0,7232.36,7232.36,142101.1,20143.65,150,162394.75,0,162394.75,84.13,86.98,62.12,0,2,0,0,107,6871.31
18/01/2023 00:00:00,Wednesday,16,89,77,12,0,83.18,143,1,0,7748.69,913.6,0,0,8662.29,8662.29,149849.79,21057.25,150,171057.04,0,171057.04,87.06,87.95,72.42,0,2,0,0,107,7827.81
19/01/2023 00:00:00,Thursday,15,90,83,7,0,84.11,147,0,0,7871.58,1132.4,0,0,9003.98,9003.98,157721.37,22189.65,150,180061.02,0,180061.02,87.46,88.23,73.57,0,2,0,0,107,7940.69
