Date,DayOfWeek,Avail,Total,Indv,Multi,Blocks,Occ,Ad,Ch,Inf,Accomm,FB,Other,NonRevenue,TotalRevenue,GrandTotal,CumulativeAccomm,CumulativeFB,CumulativeOther,CumulativeTotalRevenue,CumulativeNonRevenue,CumulativeGrandTotal,ARR,APR,Yield,Blked,ROOS,DFS,Waitlist,InStock,RatePlanRevenue
"01/01/2025 00:00:00","Wednesday","6.00","96","90","6","0","89.72","179","1","0","10313.66","1809.70","0.00","0.00","12123.36","12123.36","10313.66","1809.70","0.00","12123.36","0.00","12123.36","107.43","108.63","96.39","0","5","0","0","107","10428.66"
"02/01/2025 00:00:00","Thursday","10.00","94","83","11","0","88.79","172","3","0","8537.33","1319.85","0.00","0.00","9857.18","9857.18","18850.99","3129.55","0.00","21980.54","0.00","21980.54","90.82","91.37","79.79","0","2","0","0","107","8588.75"
"03/01/2025 00:00:00","Friday","8.00","97","81","16","0","90.65","177","7","0","10044.22","1134.70","10.00","0.00","11188.92","11188.92","28895.21","4264.25","10.00","33169.46","0.00","33169.46","103.55","105.86","93.87","0","2","0","0","107","10268.22"
"04/01/2025 00:00:00","Saturday","2.00","103","82","21","0","96.26","198","4","0","11595.71","1522.60","0.00","0.00","13118.31","13118.31","40490.92","5786.85","10.00","46287.77","0.00","46287.77","112.58","115.32","108.37","0","2","0","0","107","11878.00"
"05/01/2025 00:00:00","Sunday","46.00","59","55","4","0","55.14","105","1","0","4657.99","828.70","0.00","0.00","5486.69","5486.69","45148.91","6615.55","10.00","51774.46","0.00","51774.46","78.95","79.42","43.53","0","2","0","0","107","4685.99"
"06/01/2025 00:00:00","Monday","68.00","37","35","2","0","34.58","58","0","0","3141.55","519.30","150.00","0.00","3810.85","3810.85","48290.46","7134.85","160.00","55585.31","0.00","55585.31","84.91","76.51","29.36","0","2","0","0","107","2831.05"
"07/01/2025 00:00:00","Tuesday","71.00","33","31","2","0","31.78","49","1","0","2462.26","238.65","0.00","0.00","2700.91","2700.91","50752.72","7373.50","160.00","58286.22","0.00","58286.22","74.61","76.43","23.01","0","2","0","0","107","2522.26"
"08/01/2025 00:00:00","Wednesday","58.00","47","43","4","0","43.93","75","1","0","3435.64","516.40","0.00","0.00","3952.04","3952.04","54188.36","7889.90","160.00","62238.26","0.00","62238.26","73.10","73.78","32.11","0","2","0","0","107","3467.64"
"09/01/2025 00:00:00","Thursday","59.00","46","42","4","0","42.99","78","3","0","3521.35","521.75","450.00","0.00","4493.10","4493.10","57709.71","8411.65","610.00","66731.36","0.00","66731.36","76.55","76.45","32.91","0","2","0","0","107","3516.49"
"10/01/2025 00:00:00","Friday","10.00","95","91","4","0","88.79","179","2","0","9547.97","1262.15","0.00","0.00","10810.12","10810.12","67257.68","9673.80","610.00","77541.48","0.00","77541.48","100.50","100.58","89.23","0","2","0","0","107","9554.93"
"11/01/2025 00:00:00","Saturday","6.00","99","91","8","0","92.52","189","3","0","11843.29","1275.20","0.00","0.00","13118.49","13118.49","79100.97","10949.00","610.00","90659.97","0.00","90659.97","119.63","121.81","110.68","0","2","0","0","107","12059.10"
"12/01/2025 00:00:00","Sunday","41.00","64","64","0","0","59.81","110","2","0","5094.79","1117.55","150.00","0.00","6362.34","6362.34","84195.76","12066.55","760.00","97022.31","0.00","97022.31","79.61","79.49","47.61","0","2","0","0","107","5087.22"
