name,type,date,time,venue,location,description,price
Event Name,Type,Date (YYYY-MM-DD),Time,Venue,Area,Description,Price
---,---,---,---,---,---,---,---
Dublin Marathon,Sports,2025-10-26,Morning,City streets (Start: Fitzwilliam Square),Citywide,"One of Europe’s top marathons, attracting thousands of runners and spectators.",Free to watch
Haunted Dublin Walking Tours,Tour/Experience,2025-10-16 to 2025-10-30 (multiple dates),Evening,Various starting points,City Centre,Guided ghost tours through historic alleyways with chilling tales from Dublin’s past.,Varies (typically €15–€25)[1]
Candlelight Concerts,Concert,2025-10-16 to 2025-10-30 (multiple dates),Evening,"Historic venues (e.g., St. Patrick’s Cathedral, Christ Church)",City Centre,Classical and modern music concerts illuminated by candlelight.,Varies (typically €25–€40)[1]
Dtwo Thursdays Halloween Ball,Nightlife/Party,2025-10-30,22:00,Dtwo Nightclub,Harcourt Street,Annual Halloween costume party with DJs and themed entertainment.,Check ticket price on event[2]
Guinness Storehouse Entry,Experience,2025-10-16 to 2025-10-30 (daily),10:00–19:00,Guinness Storehouse,St. James’s Gate,"Self-guided tour of Ireland’s iconic brewery, with tastings and exhibits.",€30.00[3]
National Museum of Ireland – Archaeology,Museum,2025-10-16 to 2025-10-30 (daily),10:00–17:00,Kildare Street,City Centre,"Explore Irish history, including the Ardagh Chalice and Viking artefacts.",Free[1]
Trinity College & The Book of Kells,Cultural,2025-10-16 to 2025-10-30 (daily),09:30–17:00,Trinity College,City Centre,View Ireland’s greatest manuscript and the historic Long Room library.,Included with Dublin Pass or ticketed[1][3]
Grafton Quarter Shopping,Shopping,2025-10-16 to 2025-10-30 (daily),All day,Grafton Street,City Centre,"High-end stores, Irish boutiques, and cafés in Dublin’s shopping district.","Free entry, shopping varies[1]"
