date,room_type_code,price_rec,price_min,price_max,drivers
2025-11-10,DLX-QUEEN,150.00,130.00,170.00,
2025-11-11,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
2025-11-12,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
2025-11-13,DLX-QUEEN,150.00,130.00,170.00,
2025-11-14,DLX-QUEEN,177.50,157.50,197.50,Weekend uplift|Event impact
2025-11-15,DLX-QUEEN,177.50,157.50,197.50,Weekend uplift|Event impact
2025-11-16,DLX-QUEEN,157.50,137.50,177.50,Event impact
2025-11-17,DLX-QUEEN,150.00,130.00,170.00,
2025-11-18,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
2025-11-19,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
2025-11-20,DLX-QUEEN,150.00,130.00,170.00,
2025-11-21,DLX-QUEEN,177.50,157.50,197.50,Weekend uplift|Event impact
2025-11-22,DLX-QUEEN,177.50,157.50,197.50,Weekend uplift|Event impact
2025-11-23,DLX-QUEEN,157.50,137.50,177.50,Event impact
2025-11-24,DLX-QUEEN,150.00,130.00,170.00,
2025-11-25,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
