date,room_type_code,price_rec,price_min,price_max,drivers
2025-11-10,DLX-QUEEN,167.06,147.06,187.06,High occupancy
2025-11-11,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
2025-11-12,DLX-QUEEN,140.00,120.00,160.00,Midweek softness
2025-11-13,DLX-QUEEN,150.00,130.00,170.00,
2025-11-14,DLX-QUEEN,177.50,157.50,197.50,Weekend uplift|Event impact
2025-11-15,DLX-QUEEN,185.56,165.56,205.56,Weekend uplift|Event impact|High occupancy|Smoothing
2025-11-16,DLX-QUEEN,148.83,128.83,168.83,Event impact|Low occupancy softness
2025-11-17,DLX-QUEEN,138.81,118.81,158.81,Low occupancy softness
2025-11-18,DLX-QUEEN,130.07,110.07,150.07,Midweek softness|Low occupancy softness|Smoothing
2025-11-19,DLX-QUEEN,131.33,111.33,151.33,Midweek softness|Low occupancy softness
2025-11-20,DLX-QUEEN,150.00,130.00,170.00,
2025-11-21,DLX-QUEEN,186.62,166.62,206.62,Weekend uplift|Event impact|High occupancy
2025-11-22,DLX-QUEEN,189.89,169.89,209.89,Weekend uplift|Event impact|High occupancy|Smoothing
2025-11-23,DLX-QUEEN,157.50,137.50,177.50,Event impact
2025-11-24,DLX-QUEEN,141.05,121.05,161.05,Low occupancy softness
2025-11-25,DLX-QUEEN,136.61,116.61,156.61,Midweek softness|Low occupancy softness|Smoothing
